,alpha3_code,region,category,parameter,mode,powertrain,year,unit,value
0,AUS,Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49.0
1,AUS,Australia,Historical,EV sales share,Cars,EV,2011,percent,0.0065000001341104
2,AUS,Australia,Historical,EV stock share,Cars,EV,2011,percent,0.0004600000102072
3,AUS,Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49.0
4,AUS,Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170.0
5,AUS,Australia,Historical,EV stock share,Cars,EV,2012,percent,0.0027999999001622
6,AUS,Australia,Historical,EV sales share,Cars,EV,2012,percent,0.0299999993294477
7,AUS,Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220.0
8,AUS,Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80.0
9,AUS,Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80.0
10,AUS,Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100.0
11,AUS,Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180.0
12,AUS,Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410.0
13,AUS,Australia,Historical,EV sales share,Cars,EV,2013,percent,0.0340000018477439
14,AUS,Australia,Historical,EV stock share,Cars,EV,2013,percent,0.0054000001400709
15,AUS,Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190.0
16,AUS,Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370.0
17,AUS,Australia,Historical,EV stock share,Cars,EV,2014,percent,0.0170000009238719
18,AUS,Australia,Historical,EV sales share,Cars,EV,2014,percent,0.159999996423721
19,AUS,Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780.0
20,AUS,Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100.0
21,AUS,Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950.0
22,AUS,Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000.0
23,AUS,Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,2100.0
24,AUS,Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500.0
25,AUS,Australia,Historical,EV sales share,Cars,EV,2015,percent,0.200000002980232
26,AUS,Australia,Historical,EV stock share,Cars,EV,2015,percent,0.0320000015199184
27,AUS,Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760.0
28,AUS,Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670.0
29,AUS,Australia,Historical,EV stock share,Cars,EV,2016,percent,0.0430000014603138
30,AUS,Australia,Historical,EV sales share,Cars,EV,2016,percent,0.150000005960464
31,AUS,Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200.0
